ID,Field,RA,DEC,Status
iDR3.SPLUS-s28s34.022768,SPLUS-s28s34,55.15724475,-36.12206287,LSB-candidate
iDR3.SPLUS-s28s34.027372,SPLUS-s28s34,55.2829588,-35.51490145,LSB-candidate
iDR3.SPLUS-s28s34.027574,SPLUS-s28s34,54.57704461,-35.53314224,LSB-candidate
iDR3.SPLUS-s28s34.029166,SPLUS-s28s34,55.33924496,-35.94942849,LSB-candidate
iDR3.SPLUS-s28s34.029337,SPLUS-s28s34,55.65384514,-35.95821446,LSB-candidate
iDR3.SPLUS-s28s34.031159,SPLUS-s28s34,55.57369745,-35.53508508,LSB-candidate
iDR3.SPLUS-s28s34.005469,SPLUS-s28s34,54.67396863,-36.72764777,LSB-candidate
iDR3.SPLUS-s28s34.005491,SPLUS-s28s34,54.43243818,-36.7261937,LSB-candidate
iDR3.SPLUS-s28s34.036474,SPLUS-s28s34,55.36764068,-35.72083239,LSB-candidate
iDR3.SPLUS-s28s34.037226,SPLUS-s28s34,55.25345006,-35.74442243,LSB-candidate
iDR3.SPLUS-s28s34.006714,SPLUS-s28s34,55.60671542,-36.68573579,LSB-candidate
iDR3.SPLUS-s28s34.037864,SPLUS-s28s34,55.03841236,-35.8364934,LSB-candidate
iDR3.SPLUS-s28s34.037937,SPLUS-s28s34,55.6594545,-35.86877298,LSB-candidate
iDR3.SPLUS-s28s34.039364,SPLUS-s28s34,55.1246486,-35.87644743,LSB-candidate
iDR3.SPLUS-s28s34.008262,SPLUS-s28s34,54.95787991,-36.63400525,LSB-candidate
iDR3.SPLUS-s28s34.040620,SPLUS-s28s34,54.39505641,-35.82840866,LSB-candidate
iDR3.SPLUS-s28s34.040914,SPLUS-s28s34,55.0394836,-35.83726128,LSB-candidate
iDR3.SPLUS-s28s34.010974,SPLUS-s28s34,55.07148492,-36.53471562,LSB-candidate
iDR3.SPLUS-s28s34.011835,SPLUS-s28s34,55.11704462,-36.5018145,LSB-candidate
iDR3.SPLUS-s28s34.012325,SPLUS-s28s34,54.22101574,-36.48413002,LSB-candidate
iDR3.SPLUS-s28s34.014444,SPLUS-s28s34,54.58886843,-36.41110859,LSB-candidate
iDR3.SPLUS-s28s34.015380,SPLUS-s28s34,55.68815831,-36.37895301,LSB-candidate
iDR3.SPLUS-s28s34.016639,SPLUS-s28s34,54.75331639,-36.33826403,LSB-candidate
iDR3.SPLUS-s28s34.022239,SPLUS-s28s34,55.51338767,-36.13959361,LSB-candidate
iDR3.SPLUS-s28s34.000225,SPLUS-s28s34,54.60513383,-36.89015933,Confirmed
iDR3.SPLUS-s28s34.010227,SPLUS-s28s34,55.02931567,-36.55989569,Confirmed
iDR3.SPLUS-s28s34.010414,SPLUS-s28s34,54.9069489,-36.55310976,Confirmed
iDR3.SPLUS-s28s34.010614,SPLUS-s28s34,54.38493552,-36.54482525,Confirmed
iDR3.SPLUS-s28s34.024302,SPLUS-s28s34,54.57997274,-36.06583223,Confirmed
iDR3.SPLUS-s28s34.028287,SPLUS-s28s34,54.655183,-35.91720684,Confirmed
iDR3.SPLUS-s28s34.031098,SPLUS-s28s34,54.10520922,-35.70303306,Confirmed
iDR3.SPLUS-s28s34.034905,SPLUS-s28s34,55.2788723,-35.69009573,Confirmed